Time,Total length,FPS,Annotation code,startstop,Manual,Time (mm:ss:ms),Time (ms),Ceiling camera time (ms),Ceiling camera time (mm:ss:ms)
914.812,1165.27,30,EVS,START,BIMANUAL,15:14.812,914812,990791.9444,16:30.792
922.194,1165.27,30,EVS,STOP,BIMANUAL,15:22.194,922194,998817.6917,16:38.818
922.345,1165.27,30,C,START,BIMANUAL,15:22.345,922345,998981.8597,16:38.982
932.14,1165.27,30,C,STOP,BIMANUAL,15:32.140,932140,1009631.033,16:49.631
936.069,1165.27,30,C,START,BIMANUAL,15:36.069,936069,1013902.661,16:53.903
954.822,1165.27,30,C,STOP,BIMANUAL,15:54.822,954822,1034291.016,17:14.291
972.237,1165.27,30,C,START,BIMANUAL,16:12.237,972237,1053224.692,17:33.225
997.095,1165.27,30,C,STOP,BIMANUAL,16:37.095,997095,1080250.433,18:00.250
997.878,1165.27,30,EVS,START,SINGLE,16:37.878,997878,1081101.715,18:01.102
1007.31,1165.27,30,EVS,STOP,SINGLE,16:47.310,1007310,1091356.232,18:11.356
1007.337,1165.27,30,C,START,BIMANUAL,16:47.337,1007337,1091385.587,18:11.386
1015.795,1165.27,30,C,STOP,BIMANUAL,16:55.795,1015795,1100581.167,18:20.581
1021.277,1165.27,30,C,START,BIMANUAL,17:01.277,1021277,1106541.225,18:26.541
1053.559,1165.27,30,C,STOP,BIMANUAL,17:33.559,1053559,1141638.377,19:01.638
1053.659,1165.27,30,EVS,START,BIMANUAL,17:33.659,1053659,1141747.097,19:01.747
1057.992,1165.27,30,EVS,STOP,BIMANUAL,17:37.992,1057992,1146457.956,19:06.458
1058.048,1165.27,30,C,START,BIMANUAL,17:38.048,1058048,1146518.84,19:06.519
1060.976,1165.27,30,C,STOP,BIMANUAL,17:40.976,1060976,1149702.176,19:09.702
1060.976,1165.27,30,EVS,START,BIMANUAL,17:40.976,1060976,1149702.176,19:09.702
1072.914,1165.27,30,EVS,STOP,BIMANUAL,17:52.914,1072914,1162681.229,19:22.681
1073.053,1165.27,30,C,START,BIMANUAL,17:53.053,1073053,1162832.351,19:22.832
1101.476,1165.27,30,C,STOP,BIMANUAL,18:21.476,1101476,1193733.979,19:53.734
1101.498,1165.27,30,ST,START,BIMANUAL,18:21.498,1101498,1193757.897,19:53.758
1108.177,1165.27,30,ST,STOP,BIMANUAL,18:28.177,1108177,1201019.339,20:01.019
1108.178,1165.27,30,C,START,BIMANUAL,18:28.178,1108178,1201020.426,20:01.020
1122.439,1165.27,30,C,STOP,BIMANUAL,18:42.439,1122439,1216525.057,20:16.525
1122.825,1165.27,30,ST,START,BIMANUAL,18:42.825,1122825,1216944.718,20:16.945
1138.023,1165.27,30,ST,STOP,BIMANUAL,18:58.023,1138023,1233468.06,20:33.468
1138.054,1165.27,30,C,START,BIMANUAL,18:58.054,1138054,1233501.763,20:33.502
1143.632,1165.27,30,C,STOP,BIMANUAL,19:03.632,1143632,1239566.192,20:39.566
