Frame Number ; Time Stamp ; Point Of Regard X ; Point Of Regard Y ; Pupil Area Right Eye, sq.mm ; Pupil Area Left Eye, sq.mm ; Pupil Area Right Eye, px ; Pupil Area Left Eye, px ; Score Value ; Score Value Left Eye ; Score Value Right Eye ; Clients Event
126010 ; 6426752.503 ; -0.0710 ; 0.4597 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
126011 ; 6426796.963 ; -0.0552 ; 0.4683 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.24 ; 0.000 ; 0.000 ; 
126012 ; 6426842.681 ; -0.0318 ; 0.4800 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.23 ; 0.000 ; 0.000 ; 
126013 ; 6426852.747 ; -0.0185 ; 0.4851 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.21 ; 0.000 ; 0.000 ; 
126014 ; 6426859.877 ; -0.0211 ; 0.4833 ; 0.00 ; 0.00 ; 0 ; 0 ; 0.30 ; 0.000 ; 0.000 ; 
126015 ; 6426926.147 ; -0.0211 ; 0.4833 ; 4.82 ; 0.00 ; 2121 ; 0 ; 0.04 ; 0.000 ; 0.000 ; 
126016 ; 6426975.640 ; -0.0211 ; 0.4833 ; 5.55 ; 0.00 ; 2045 ; 0 ; 0.11 ; 0.000 ; 0.000 ; 
126017 ; 6427021.358 ; -0.0211 ; 0.4833 ; 5.20 ; 0.00 ; 2193 ; 0 ; 0.14 ; 0.000 ; 0.000 ; 
126018 ; 6427066.656 ; -0.0464 ; 0.4924 ; 13.88 ; 0.60 ; 2800 ; 385 ; 0.59 ; 0.000 ; 0.000 ; 
126019 ; 6427118.246 ; -0.0786 ; 0.5011 ; 14.74 ; 0.88 ; 3198 ; 229 ; -2.06 ; 0.000 ; 0.000 ; 
126020 ; 6427159.350 ; -0.0696 ; 0.4991 ; 15.74 ; 0.42 ; 3350 ; 129 ; 0.18 ; 0.000 ; 0.000 ; 
126021 ; 6427205.907 ; -0.0671 ; 0.4987 ; 14.16 ; 3.83 ; 3401 ; 659 ; 0.32 ; 0.000 ; 0.000 ; 
126022 ; 6427215.554 ; -0.0671 ; 0.4987 ; 11.12 ; 12.31 ; 3001 ; 2507 ; 0.58 ; 0.642 ; 0.527 ; 
126023 ; 6427273.855 ; 0.2014 ; 0.4675 ; 11.22 ; 11.42 ; 3028 ; 2339 ; 0.66 ; 0.650 ; 0.671 ; 
126024 ; 6427325.864 ; 0.3548 ; 0.4755 ; 9.68 ; 11.07 ; 2624 ; 2462 ; 0.67 ; 0.642 ; 0.691 ; 
126025 ; 6427379.551 ; 0.4023 ; 0.4772 ; 10.29 ; 12.53 ; 2849 ; 2951 ; 0.70 ; 0.710 ; 0.685 ; 
126026 ; 6427428.205 ; 0.4415 ; 0.4904 ; 11.55 ; 9.91 ; 3330 ; 2499 ; 0.69 ; 0.664 ; 0.717 ; 
126027 ; 6427481.892 ; 0.5492 ; 0.4517 ; 11.94 ; 8.52 ; 3590 ; 2177 ; 0.68 ; 0.616 ; 0.747 ; 
126028 ; 6427537.677 ; 0.5655 ; 0.4312 ; 12.32 ; 9.21 ; 3821 ; 2403 ; 0.71 ; 0.671 ; 0.743 ; 
126029 ; 6427591.364 ; 0.5537 ; 0.4100 ; 11.61 ; 7.82 ; 3622 ; 2154 ; 0.70 ; 0.700 ; 0.702 ; 
126030 ; 6427646.729 ; 0.5514 ; 0.4285 ; 11.52 ; 8.04 ; 3647 ; 2328 ; 0.69 ; 0.682 ; 0.689 ; 
126031 ; 6427710.063 ; 0.5536 ; 0.4551 ; 11.54 ; 7.23 ; 3656 ; 2141 ; 0.69 ; 0.661 ; 0.711 ; 
126032 ; 6427769.202 ; 0.5485 ; 0.4605 ; 10.93 ; 9.20 ; 3481 ; 2773 ; 0.70 ; 0.704 ; 0.688 ; 
126033 ; 6427823.309 ; 0.5149 ; 0.4670 ; 10.41 ; 11.26 ; 3355 ; 3580 ; 0.68 ; 0.683 ; 0.670 ; 
126034 ; 6427879.093 ; 0.5285 ; 0.4514 ; 10.19 ; 8.46 ; 3360 ; 2686 ; 0.72 ; 0.733 ; 0.715 ; 
126035 ; 6427936.136 ; 0.5309 ; 0.4400 ; 10.36 ; 8.44 ; 3432 ; 2711 ; 0.72 ; 0.755 ; 0.693 ; 
126036 ; 6427994.436 ; 0.5247 ; 0.4428 ; 10.67 ; 8.26 ; 3658 ; 2724 ; 0.71 ; 0.722 ; 0.707 ; 
126037 ; 6428048.962 ; 0.5238 ; 0.4429 ; 10.52 ; 7.78 ; 3668 ; 2607 ; 0.74 ; 0.745 ; 0.742 ; 
126038 ; 6428106.424 ; 0.5261 ; 0.4490 ; 10.21 ; 8.03 ; 3619 ; 2738 ; 0.73 ; 0.738 ; 0.728 ; 
126039 ; 6428162.209 ; 0.5233 ; 0.4522 ; 10.57 ; 8.87 ; 3786 ; 3022 ; 0.71 ; 0.704 ; 0.723 ; 
126040 ; 6428220.090 ; 0.5214 ; 0.4604 ; 10.35 ; 8.76 ; 3720 ; 3003 ; 0.72 ; 0.657 ; 0.779 ; 
126041 ; 6428277.552 ; 0.5131 ; 0.4567 ; 10.04 ; 8.49 ; 3587 ; 2996 ; 0.71 ; 0.710 ; 0.709 ; 
126042 ; 6428325.367 ; 0.4921 ; 0.4572 ; 10.81 ; 8.83 ; 3844 ; 3137 ; 0.68 ; 0.609 ; 0.753 ; 
126043 ; 6428381.571 ; 0.4916 ; 0.4729 ; 11.01 ; 8.96 ; 4013 ; 3255 ; 0.71 ; 0.669 ; 0.752 ; 
126044 ; 6428440.291 ; 0.4611 ; 0.4700 ; 10.79 ; 13.07 ; 3937 ; 4874 ; 0.71 ; 0.684 ; 0.735 ; 
126045 ; 6428497.333 ; 0.4663 ; 0.4651 ; 10.86 ; 9.55 ; 3904 ; 3546 ; 0.64 ; 0.615 ; 0.670 ; 
126046 ; 6428554.795 ; 0.4621 ; 0.4579 ; 10.36 ; 13.48 ; 3618 ; 4979 ; 0.66 ; 0.631 ; 0.686 ; 
126047 ; 6428607.224 ; 0.4856 ; 0.3988 ; 10.61 ; 8.31 ; 3710 ; 3025 ; 0.70 ; 0.708 ; 0.693 ; 
126048 ; 6428665.525 ; 0.4955 ; 0.3830 ; 10.30 ; 8.61 ; 3614 ; 3201 ; 0.73 ; 0.698 ; 0.763 ; 
126049 ; 6428726.342 ; 0.4873 ; 0.3893 ; 10.09 ; 9.12 ; 3569 ; 3458 ; 0.73 ; 0.659 ; 0.793 ; 
126050 ; 6428785.063 ; 0.4846 ; 0.3218 ; 9.75 ; 8.17 ; 3493 ; 3011 ; 0.76 ; 0.763 ; 0.752 ; 
126051 ; 6428843.364 ; 0.4771 ; 0.2730 ; 10.18 ; 8.61 ; 3648 ; 3228 ; 0.74 ; 0.743 ; 0.737 ; 
126052 ; 6428898.309 ; 0.4784 ; 0.2602 ; 10.65 ; 8.62 ; 3840 ; 3185 ; 0.72 ; 0.709 ; 0.740 ; 
126053 ; 6428953.674 ; 0.4824 ; 0.2628 ; 10.62 ; 8.86 ; 3890 ; 3309 ; 0.73 ; 0.753 ; 0.711 ; 
126054 ; 6429004.844 ; 0.4852 ; 0.2649 ; 10.67 ; 8.87 ; 3897 ; 3310 ; 0.74 ; 0.751 ; 0.730 ; 
126055 ; 6429059.790 ; 0.4815 ; 0.2745 ; 10.11 ; 9.16 ; 3726 ; 3484 ; 0.72 ; 0.678 ; 0.760 ; 
126056 ; 6429110.960 ; 0.4712 ; 0.2870 ; 10.29 ; 8.94 ; 3816 ; 3453 ; 0.72 ; 0.708 ; 0.738 ; 
126057 ; 6429164.228 ; 0.4707 ; 0.2923 ; 10.28 ; 8.77 ; 3811 ; 3327 ; 0.71 ; 0.709 ; 0.706 ; 
126058 ; 6429177.650 ; 0.4824 ; 0.2854 ; 10.03 ; 8.66 ; 3728 ; 3219 ; 0.70 ; 0.692 ; 0.714 ; 
126059 ; 6429235.112 ; 0.4893 ; 0.2793 ; 9.91 ; 8.72 ; 3695 ; 3255 ; 0.74 ; 0.715 ; 0.774 ; 
126060 ; 6429247.694 ; 0.4741 ; 0.3260 ; 8.53 ; 8.45 ; 3087 ; 3280 ; 0.73 ; 0.724 ; 0.737 ; 
126061 ; 6429307.673 ; 0.4703 ; 0.4284 ; 9.53 ; 8.96 ; 3486 ; 3410 ; 0.64 ; 0.616 ; 0.665 ; 
126062 ; 6429364.716 ; 0.4742 ; 0.4769 ; 10.02 ; 9.13 ; 3670 ; 3457 ; 0.66 ; 0.648 ; 0.671 ; 
126063 ; 6429424.275 ; 0.4795 ; 0.4882 ; 9.75 ; 8.78 ; 3542 ; 3329 ; 0.72 ; 0.673 ; 0.765 ; 
126064 ; 6429480.478 ; 0.4838 ; 0.4788 ; 9.66 ; 9.22 ; 3573 ; 3456 ; 0.71 ; 0.700 ; 0.729 ; 
126065 ; 6429536.263 ; 0.4731 ; 0.4651 ; 9.73 ; 9.96 ; 3536 ; 3678 ; 0.73 ; 0.689 ; 0.762 ; 
126066 ; 6429589.111 ; 0.4867 ; 0.4686 ; 10.08 ; 9.09 ; 3685 ; 3364 ; 0.71 ; 0.682 ; 0.745 ; 
126067 ; 6429644.056 ; 0.4884 ; 0.4590 ; 10.67 ; 9.18 ; 3856 ; 3377 ; 0.72 ; 0.685 ; 0.762 ; 
126068 ; 6429706.971 ; 0.4966 ; 0.4595 ; 10.53 ; 8.71 ; 3860 ; 3217 ; 0.72 ; 0.673 ; 0.759 ; 
126069 ; 6429763.174 ; 0.4858 ; 0.4541 ; 10.58 ; 9.05 ; 3919 ; 3450 ; 0.72 ; 0.716 ; 0.725 ; 
126070 ; 6429817.700 ; 0.4777 ; 0.4539 ; 10.14 ; 9.11 ; 3730 ; 3505 ; 0.72 ; 0.666 ; 0.773 ; 
126071 ; 6429873.065 ; 0.4821 ; 0.4548 ; 10.07 ; 9.08 ; 3768 ; 3434 ; 0.68 ; 0.672 ; 0.691 ; 
126072 ; 6429886.068 ; 0.4885 ; 0.4522 ; 10.18 ; 8.80 ; 3786 ; 3344 ; 0.69 ; 0.658 ; 0.716 ; 
126073 ; 6429941.852 ; 0.4901 ; 0.4538 ; 10.28 ; 8.81 ; 3738 ; 3271 ; 0.68 ; 0.681 ; 0.682 ; 
126074 ; 6429987.989 ; 0.4858 ; 0.4563 ; 10.48 ; 8.98 ; 3852 ; 3377 ; 0.70 ; 0.676 ; 0.719 ; 
126075 ; 6430033.707 ; 0.4844 ; 0.4574 ; 10.64 ; 8.92 ; 3894 ; 3371 ; 0.68 ; 0.661 ; 0.702 ; 
126076 ; 6430046.290 ; 0.4848 ; 0.4565 ; 10.57 ; 9.02 ; 3925 ; 3438 ; 0.63 ; 0.628 ; 0.632 ; 
126077 ; 6430058.034 ; 0.4857 ; 0.4557 ; 10.59 ; 9.01 ; 3931 ; 3440 ; 0.68 ; 0.682 ; 0.682 ; 
126078 ; 6430065.584 ; 0.4870 ; 0.4554 ; 10.43 ; 9.17 ; 3901 ; 3496 ; 0.71 ; 0.685 ; 0.729 ; 
126079 ; 6430122.207 ; 0.4886 ; 0.4560 ; 10.45 ; 9.25 ; 3898 ; 3482 ; 0.64 ; 0.580 ; 0.699 ; 
126080 ; 6430136.887 ; 0.4861 ; 0.4641 ; 10.66 ; 9.12 ; 3916 ; 3419 ; 0.67 ; 0.581 ; 0.749 ; 
126081 ; 6430187.638 ; 0.4758 ; 0.4701 ; 10.86 ; 8.93 ; 3939 ; 3372 ; 0.64 ; 0.617 ; 0.670 ; 
126082 ; 6430196.865 ; 0.4656 ; 0.4681 ; 10.99 ; 8.96 ; 3915 ; 3384 ; 0.68 ; 0.690 ; 0.670 ; 
126083 ; 6430256.005 ; 0.4585 ; 0.4663 ; 11.06 ; 9.06 ; 3921 ; 3388 ; 0.67 ; 0.661 ; 0.683 ; 
126084 ; 6430266.491 ; 0.4544 ; 0.4680 ; 11.04 ; 9.10 ; 3909 ; 3384 ; 0.68 ; 0.649 ; 0.703 ; 
126085 ; 6430313.467 ; 0.4517 ; 0.4690 ; 10.89 ; 9.04 ; 3850 ; 3372 ; 0.64 ; 0.595 ; 0.682 ; 
126086 ; 6430367.993 ; 0.4508 ; 0.4650 ; 10.75 ; 9.15 ; 3829 ; 3378 ; 0.67 ; 0.688 ; 0.658 ; 
126087 ; 6430420.422 ; 0.4535 ; 0.4598 ; 10.76 ; 9.29 ; 3791 ; 3337 ; 0.66 ; 0.657 ; 0.667 ; 
126088 ; 6430427.972 ; 0.4575 ; 0.4597 ; 10.76 ; 9.27 ; 3776 ; 3279 ; 0.63 ; 0.586 ; 0.672 ; 
126089 ; 6430440.135 ; 0.4616 ; 0.4638 ; 10.90 ; 9.40 ; 3725 ; 3246 ; 0.65 ; 0.616 ; 0.688 ; 
126090 ; 6430455.235 ; 0.4641 ; 0.4655 ; 10.79 ; 9.15 ; 3686 ; 3171 ; 0.62 ; 0.602 ; 0.637 ; 
126091 ; 6430512.697 ; 0.4625 ; 0.4653 ; 10.70 ; 8.96 ; 3603 ; 3151 ; 0.67 ; 0.658 ; 0.676 ; 
126092 ; 6430526.118 ; 0.4753 ; 0.4678 ; 9.15 ; 8.82 ; 3222 ; 3141 ; 0.62 ; 0.573 ; 0.672 ; 
126093 ; 6430579.386 ; 0.4919 ; 0.4628 ; 9.63 ; 8.52 ; 3430 ; 3029 ; 0.65 ; 0.604 ; 0.702 ; 
